
ERROR 2020-11-20 16:26:53,289 - login failed
ERROR 2020-11-20 16:29:31,201 - login failed
ERROR 2020-11-20 16:30:12,228 - login failed
INFO 2020-11-20 16:30:50,684 - admin log in!
INFO 2020-11-20 16:36:09,232 - admin log in!
INFO 2020-11-20 16:36:09,232 - admin log in!
INFO 2020-11-20 16:39:59,557 - admin log in!
INFO 2020-11-20 16:54:41,273 - admin log in!
INFO 2020-11-20 16:55:14,211 - new product added
INFO 2020-11-20 16:55:26,837 - admin log in!
INFO 2020-11-20 16:55:51,653 - The inventory was charged
INFO 2020-11-20 16:59:25,978 - admin log in!
INFO 2020-11-20 16:59:54,074 - new product added
INFO 2020-11-20 17:00:04,219 - admin log in!
INFO 2020-11-20 17:00:25,925 - The inventory was charged
INFO 2020-11-20 17:00:33,762 - admin log in!
INFO 2020-11-20 17:15:59,543 - admin log in!
INFO 2020-11-20 17:16:02,147 - admin log in!
INFO 2020-11-20 17:45:34,944 - admin log in!
INFO 2020-11-20 17:46:05,581 - new product added
INFO 2020-11-20 17:46:53,017 - new product added
INFO 2020-11-20 17:46:57,672 - admin log in!
INFO 2020-11-20 17:47:29,244 - The inventory was charged
INFO 2020-11-20 17:48:58,154 - admin log in!
INFO 2020-11-20 17:49:22,348 - new product added
INFO 2020-11-20 17:49:39,653 - admin log in!
INFO 2020-11-20 17:49:50,378 - new product added
INFO 2020-11-20 17:51:52,567 - admin log in!
WARNING 2020-11-20 17:51:52,567 - First login: insecure password
INFO 2020-11-20 17:52:16,243 - new product added
INFO 2020-11-20 17:56:26,505 - admin log in!
WARNING 2020-11-20 17:56:26,505 - First login: insecure password
INFO 2020-11-20 17:56:43,659 - new product added
INFO 2020-11-20 18:01:05,317 - admin log in!
WARNING 2020-11-20 18:01:05,317 - First login: insecure password
INFO 2020-11-20 18:01:32,304 - new product added
INFO 2020-11-20 18:06:04,475 - admin log in!
WARNING 2020-11-20 18:06:04,475 - First login: insecure password
INFO 2020-11-20 18:14:16,870 - admin log in!
WARNING 2020-11-20 18:14:16,870 - First login: insecure password
INFO 2020-11-20 19:19:58,718 - admin log in!
WARNING 2020-11-20 19:19:58,718 - First login: insecure password
INFO 2020-11-20 19:20:15,612 - admin log in!
WARNING 2020-11-20 19:20:15,612 - First login: insecure password
INFO 2020-11-20 19:21:12,438 - admin log in!
WARNING 2020-11-20 19:21:12,438 - First login: insecure password
INFO 2020-11-20 19:21:23,617 - admin log in!
WARNING 2020-11-20 19:21:23,617 - First login: insecure password
INFO 2020-11-20 19:41:54,256 - admin log in!
INFO 2020-11-20 19:41:56,714 - admin log in!
INFO 2020-11-20 19:42:09,498 - admin log in!
INFO 2020-11-20 19:46:11,878 - admin log in!
INFO 2020-11-20 19:46:12,954 - admin log in!
INFO 2020-11-20 19:46:25,737 - admin log in!
INFO 2020-11-20 19:46:55,552 - admin log in!
INFO 2020-11-20 19:46:56,897 - admin log in!
INFO 2020-11-20 19:46:57,834 - admin log in!
ERROR 2020-11-21 00:02:32,562 - Unsuccessful attempt to buy goods
ERROR 2020-11-21 00:02:43,786 - Unsuccessful attempt to buy goods
ERROR 2020-11-21 00:02:47,265 - Unsuccessful attempt to buy goods
ERROR 2020-11-21 00:02:53,666 - Unsuccessful attempt to buy goods
ERROR 2020-11-21 00:02:54,800 - Unsuccessful attempt to buy goods
ERROR 2020-11-21 00:10:05,897 - Unsuccessful attempt to buy goods
ERROR 2020-11-21 00:10:07,169 - Unsuccessful attempt to buy goods
ERROR 2020-11-21 00:10:20,928 - Unsuccessful attempt to buy goods
ERROR 2020-11-21 00:11:40,721 - Unsuccessful attempt to buy goods
INFO 2020-11-21 00:11:58,817 - An item was added to a customers basket
ERROR 2020-11-21 00:12:00,944 - Unsuccessful attempt to buy goods
ERROR 2020-11-21 00:14:43,057 - Unsuccessful attempt to buy goods
ERROR 2020-11-21 00:14:48,647 - Unsuccessful attempt to buy goods
ERROR 2020-11-21 00:14:49,480 - Unsuccessful attempt to buy goods
ERROR 2020-11-21 00:14:50,489 - Unsuccessful attempt to buy goods
ERROR 2020-11-21 00:15:31,224 - Unsuccessful attempt to buy goods
ERROR 2020-11-21 00:15:32,712 - Unsuccessful attempt to buy goods
INFO 2020-11-21 00:28:31,808 - An item was added to a customers basket
INFO 2020-11-21 00:31:21,262 - An item was added to a customers basket
INFO 2020-11-21 00:32:34,102 - An item was added to a customers basket
INFO 2020-11-21 00:39:20,142 - An item was added to a customers basket
INFO 2020-11-21 00:39:33,982 - An item was added to a customers basket
INFO 2020-11-21 01:07:01,683 - An item was added to a customers basket
INFO 2020-11-21 01:07:20,500 - An item was added to a customers basket
INFO 2020-11-21 01:07:30,420 - A purchase was made
INFO 2020-11-21 01:08:35,267 - An item was added to a customers basket
INFO 2020-11-21 01:08:48,212 - An item was added to a customers basket
INFO 2020-11-21 01:08:53,540 - A purchase was made
INFO 2020-11-21 01:10:22,188 - An item was added to a customers basket
INFO 2020-11-21 01:10:35,244 - An item was added to a customers basket
INFO 2020-11-21 01:10:43,980 - A purchase was made
INFO 2020-11-21 01:14:16,259 - An item was added to a customers basket
INFO 2020-11-21 01:14:28,458 - An item was added to a customers basket
INFO 2020-11-21 01:14:33,499 - A purchase was made
INFO 2020-11-21 01:15:41,099 - An item was added to a customers basket
INFO 2020-11-21 01:15:49,090 - A purchase was made
INFO 2020-11-21 01:21:41,670 - admin log in!
INFO 2020-11-21 01:22:34,037 - admin log in!
INFO 2020-11-21 01:23:22,685 - admin log in!
INFO 2020-11-21 01:23:28,125 - admin log in!
INFO 2020-11-21 01:26:47,793 - An item was added to a customers basket
INFO 2020-11-21 01:26:52,634 - A purchase was made
INFO 2020-11-21 01:27:01,885 - admin log in!
INFO 2020-11-21 01:27:58,045 - admin log in!
INFO 2020-11-21 01:29:56,317 - admin log in!
INFO 2020-11-21 01:39:14,220 - admin log in!
INFO 2020-11-21 01:39:17,371 - admin log in!
INFO 2020-11-21 01:40:24,516 - admin log in!
INFO 2020-11-21 01:40:30,065 - admin log in!
INFO 2020-11-21 02:52:38,636 - admin log in!
INFO 2020-11-21 02:54:10,733 - admin log in!
WARNING 2020-11-21 02:54:14,090 - Inventory with c barcode is exhausted
ERROR 2020-11-21 12:47:57,432 - Unsuccessful attempt to buy goods : Product not found
INFO 2020-11-21 12:52:44,854 - An item was added to a customers basket
INFO 2020-11-21 12:53:46,150 - An item was added to a customers basket
